state,report_date,source,mail_sent_req_2020,mail_accept_2020,mail_reject_2020,total_early_2020,in_person_2020,total_ballots_2016,total_early_2016
MA,10/22/2020,Communication from Massachusetts Secretary of State's office,2073743,889556,0,1304797,415241,3378801,0
WA,10/22/2020,https://www.sos.wa.gov/elections/research/data-and-statistics.aspx,4835352,1594581,0,1594581,0,3363440,3363440
CA,10/22/2020,https://docs.google.com/forms/d/e/1FAIpQLSfipraqZymaSWDDYjVkidhZ0fpvHGpLuALrX9FxSr0JKeIDGw/viewform,21657378,5802511,0,5802511,0,14610509,0
OR,10/22/2020,https://sos.oregon.gov/voting/Pages/current-election.aspx,2950111,736109,0,736109,0,2056310,2056310
WI,10/23/2020,https://elections.wi.gov/index.php/elections-voting/statistics,1632452,1010881,0,1220546,209665,2976150,0
ME,10/20/2020,https://www.maine.gov/sos/cec/elec/data/index.html,415303,278371,0,278371,0,771892,0
MI,10/23/2020,Data provided by Michigan Secretary of State's office,3032987,1985687,1371,1985687,0,4874619,0
NV,10/22/2020,https://www.nvsos.gov/sos/elections/voters/election-turnout-statistics,1796559,213102,0,371029,157927,1125429,0
NM,10/22/2020,Data Provided by New Mexico Department of State,381430,211348,0,443250,231902,804043,0
CO,10/22/2020,Data provided by Colorado Secretary of State's office,4111226,1387169,0,1396658,9489,2859216,2859216
WY,10/19/2020,Communication from Wyoming Secretary of State's Office,104889,75538,0,75538,0,258788,0
KS,10/23/2020,https://twitter.com/BACaskey/status/1316432268290859008,494698,188279,0,294003,83410,1225667,0
NE,10/23/2020,Data provided by Nebraska Secretary of State's office,513619,348033,0,348033,0,860573,0
OK,10/21/2020,https://twitter.com/OKelections/status/1318918809542152192,327918,172141,0,172141,0,1452992,0
MO,10/20/2020,https://twitter.com/MissouriSOS/status/1319300051169087489,596759,423995,0,423995,0,2025985,0
IL,10/23/2020,https://elections.il.gov/VotingAndRegistrationSystems/PreElectionCounts.aspx?MID=l0hlXuSrKL0%3d&T=637317257975604269,2310132,1045381,0,1805672,505527,5666118,0
IN,10/23/2020,Communication from Indiana Secretary of State's Office,571836,402827,0,933681,530854,2807676,0
VT,10/22/2020,https://sos.vermont.gov/elections/election-info-resources/elections-results-data/,450297,180649,0,180649,0,320467,0
AR,10/23/2020,Data provided by Arkansas Secretary of State's office,123057,81665,0,358783,277118,1137772,0
TX,10/22/2020,https://earlyvoting.texas-election.com/Elections/getElectionDetails.do,787388,787388,0,6380684,5593296,8975000,0
RI,10/22/2020,https://app.powerbigov.us/view?r=eyJrIjoiM2I0ODBmMzYtZmEwZS00MTQwLTg3NWMtZWQ5ZTZjOGVkOGFkIiwidCI6IjJkMGYxZGI2LWRkNTktNDc3Mi04NjVmLTE5MTQxNzVkMDdjMiJ9,178806,84755,0,137379,52624,469589,0
AL,10/20/2020,https://www.sos.alabama.gov/newsroom/9-days-left-apply-absentee-ballot-general-election,217427,145574,0,145574,0,2134061,0
MS,10/13/2020,https://newsms.fm/thousands-of-mississippians-choosing-to-vote-absentee/,91474,58796,0,58796,0,1209357,0
NC,10/23/2020,https://dl.ncsbe.gov/?prefix=ENRS/2020_11_03/,1420665,727631,6779,2697901,1970270,4769640,3146722
VA,10/22/2020,https://results.elections.virginia.gov/vaelections/2020%20November%20General/Site/Statistics/Absentee.html or https://www.vpap.org/elections/early-voting/,1152192,716972,0,1731807,1014835,3984631,0
IA,10/23/2020,Data provided by Iowa Secretary of State's office,848227,685236,0,685236,0,1581371,0
MD,10/23/2020,https://elections.maryland.gov/press_room/index.html,1669433,861057,0,861057,0,2807322,0
DE,10/23/2020,Data provided by Delaware Secretary of State's office,178547,121513,0,121513,0,445228,0
PA,10/23/2020,Data provided by Pennsylvania Secretary of State's office,2944187,1461135,0,1461135,0,6165478,0
NJ,10/21/2020,Data Provided by New Jersey Department of State,6052318,2128568,0,2128568,0,3957303,0
NY,,,0,0,0,0,0,7786881,0
ID,10/22/2020,https://adacounty.id.gov/elections/absentee-ballot-tracking/,162876,106398,0,106398,0,710545,0
SD,10/16/2020,https://sdsos.gov/elections-voting/upcoming-elections/general-information/2020-General-Election-Absentee-Numbers.aspx,166915,87168,0,124460,37292,378995,0
CT,10/19/2020,Data provided by Connecticut Secretary of State's office,644383,418988,0,418988,0,1675955,0
NH,10/20/2020,https://sos.nh.gov/elections/information/notices/absentee-ballots-requested-for-general-election/,200834,136137,0,136137,0,755850,0
KY,10/19/2020,https://twitter.com/KYSecState/status/1318179069876424705,657457,339190,0,602722,263532,1955195,0
OH,10/22/2020,Data scraped from county websites,2364501,1582981,0,1582981,0,5607641,0
TN,10/22/2020,https://sos.tn.gov/products/elections-executive/nov-3-election-information,173189,173189,0,1400971,1081322,2545271,0
WV,10/22/2020,http://services.sos.wv.gov/Elections/AbsenteeBallotStats,142125,99302,0,99302,0,714423,0
DC,10/20/2020,https://www.dcboe.org/,504043,102116,0,102116,0,312575,0
LA,10/23/2020,https://www.sos.la.gov/ElectionsAndVoting/Pages/EarlyVotingStatisticsStatewide.aspx,126646,126646,0,592914,466268,2049531,0
FL,10/23/2020,https://countyballotfiles.floridados.gov/VoteByMailEarlyVotingReports/PublicStats,5919910,3380264,0,4771956,1391692,9580489,0
GA,10/22/2020,https://elections.sos.ga.gov/Elections/voterabsenteefile.do,1739144,872948,380,2331702,1458754,4165405,0
SC,10/23/2020,https://www.scvotes.gov/fact-sheets,920603,772099,0,772099,0,2123584,0
MN,10/23/2020,https://www.sos.state.mn.us/election-administration-campaigns/data-maps/absentee-data/,1765327,1186522,0,1186522,0,2968281,0
MT,10/22/2020,https://sosmt.gov/elections/,738181,322314,0,322314,0,516901,0
ND,10/23/2020,https://vip.sos.nd.gov/abev.aspx?eid=313,204835,125922,0,142705,16783,349945,0
AZ,10/22/2020,Arizona state and county election offices,2620920,1178439,0,1178439,0,2661497,0
UT,10/23/2020,https://voteinfo.utah.gov/ballots-processed/,1640707,407511,0,407511,0,1152369,0
HI,8/8/2020,https://elections.hawaii.gov/resources/registration-voter-turnout-statistics/,795248,0,0,0,0,437664,0
AK,10/22/2020,https://www.elections.alaska.gov/doc/info/statstable.php,138209,64385,0,64385,0,321271,115034
