state,report_date,source,mail_sent_req_2020,mail_accept_2020,mail_reject_2020,total_early_2020,in_person_2020,total_ballots_2020,total_ballots_2016,total_early_2016
MA,11/3/2020,Communication from Massachusetts Secretary of State's office,1591176,1384454,0,2352945,,,3378801,0
WA,11/2/2020,https://www.sos.wa.gov/elections/research/data-and-statistics.aspx,4877969,3545289,0,3545289,,,3363440,3363440
CA,11/2/2020,https://docs.google.com/forms/d/e/1FAIpQLSfipraqZymaSWDDYjVkidhZ0fpvHGpLuALrX9FxSr0JKeIDGw/viewform,22042262,12090534,0,12090534,,,14610509,0
OR,11/3/2020,https://sos.oregon.gov/voting/Pages/current-election.aspx,2949687,2155350,0,2155350,,,2056310,2056310
WI,11/3/2020,https://elections.wi.gov/index.php/elections-voting/statistics,1421908,1275019,0,1924838,,,2976150,0
ME,11/2/2020,https://www.maine.gov/sos/cec/elec/data/index.html,531145,499939,0,499939,,,771892,0
MI,11/2/2020,Data provided by Michigan Secretary of State's office,3318609,2841696,1856,2841696,,,4874619,0
NV,11/3/2020,https://www.nvsos.gov/sos/elections/voters/election-turnout-statistics,1768994,579553,0,1122970,,,1125429,0
NM,11/2/2020,Data Provided by New Mexico Department of State,386186,320466,0,788175,,,804043,0
CO,11/03/2020,Data provided by Colorado Secretary of State's office,4111226,2809484,0,2887605,,,2859216,2859216
WY,11/2/2020,Communication from Wyoming Secretary of State's Office,140934,131516,0,131516,,,258788,0
KS,11/2/2020,Data provided by Kansas Secretary of State's office,508187,422104,0,770324,,,1225667,0
NE,11/2/2020,Data provided by Nebraska Secretary of State's office,546036,482919,0,482919,,,860573,0
OK,11/2/2020,https://www.ok.gov/elections/Absentee_Ballot_Statistics.html,352377,279186,0,444729,,,1452992,0
MO,11/1/2020,https://twitter.com/MissouriSOS/status/1323321086302429186,876929,827978,0,827978,,,2025985,0
IL,11/2/2020,https://elections.il.gov/VotingAndRegistrationSystems/PreElectionCounts.aspx?MID=l0hlXuSrKL0%3d&T=637317257975604269,2345954,1759245,0,3591646,,,5666118,0
IN,11/3/2020,Communication from Indiana Secretary of State's Office,581091,506953,0,1834992,,,2807676,0
VT,11/2/2020,https://sos.vermont.gov/elections/election-info-resources/elections-results-data/,452266,255141,0,255141,,,320467,0
AR,11/3/2020,Data provided by Arkansas Secretary of State's office,130379,118294,0,912688,,,1137772,0
TX,10/30/2020,https://earlyvoting.texas-election.com/Elections/getElectionDetails.do,,973143,0,9719101,,,8975000,0
