state,report_date,total_votes_p,total_votes_s
AL,2020-11-04,0,0
AK,2020-11-04,0,0
AZ,2020-11-04,0,0
AR,2020-11-04,0,0
CA,2020-11-04,0,
CO,2020-11-04,0,0
CT,2020-11-04,0,
DC,2020-11-04,0,
DE,2020-11-04,0,0
FL,2020-11-04,6696563,
GA,2020-11-04,205271,203097
HI,2020-11-04,0,
ID,2020-11-04,0,0
IL,2020-11-04,0,0
IN,2020-11-04,578639,
IA,2020-11-04,0,0
KS,2020-11-04,0,0
KY,2020-11-04,403102,414958
LA,2020-11-04,0,0
ME,2020-11-04,0,0
MD,2020-11-04,0,
MA,2020-11-04,0,0
MI,2020-11-04,0,0
MN,2020-11-04,0,0
MS,2020-11-04,0,0
MO,2020-11-04,0,
MT,2020-11-04,0,0
NE,2020-11-04,0,0
NV,2020-11-04,0,
NH,2020-11-04,3212,27
NJ,2020-11-04,0,0
NM,2020-11-04,0,0
NY,2020-11-04,0,
NC,2020-11-04,0,0
ND,2020-11-04,0,
OH,2020-11-04,0,
OK,2020-11-04,0,0
OR,2020-11-04,0,0
PA,2020-11-04,0,
RI,2020-11-04,0,0
SC,2020-11-04,8774,8427
SD,2020-11-04,0,0
TN,2020-11-04,0,0
TX,2020-11-04,0,0
UT,2020-11-04,0,
VT,2020-11-04,7445,
VA,2020-11-04,31289,30041
WA,2020-11-04,0,
WV,2020-11-04,0,0
WI,2020-11-04,0,
WY,2020-11-04,0,0
