state,report_date,total_votes_p,total_votes_s,eday_p,eday_s
AL,2020-11-04,2290024,2286621,1989622,1986219
AK,2020-11-04,172031,172038,10814,10821
AZ,2020-11-04,2765872,2744764,94089,72981
AR,2020-11-04,1192319,1167444,269658,244783
CA,2020-11-04,11837793,,-252750,
CO,2020-11-04,2923312,2907154,29917,13759
CT,2020-11-04,1045288,,409288,
DC,2020-11-04,270114,,-12608,
DE,2020-11-04,502344,489421,346085,333162
FL,2020-11-04,11040806,,1971045,
GA,2020-11-04,4743453,4704216,785564,746327
HI,2020-11-04,552216,,25991,
ID,2020-11-04,867214,859784,369345,361915
IL,2020-11-04,5232012,5202230,1433726,1403944
IN,2020-11-04,2641754,,813584,
IA,2020-11-04,1683565,1667567,686595,670597
KS,2020-11-04,1301711,1297818,531387,527494
KY,2020-11-04,2102270,2100304,487034,485068
LA,2020-11-04,2147313,2070872,1161923,1085482
ME,2020-11-04,790470,788532,281560,279622
MD,2020-11-04,2108399,,-246730,
MA,2020-11-04,3402787,3322989,1049842,970044
MI,2020-11-04,5278043,5222113,2166629,2110699
MN,2020-11-04,3208468,3154134,1361800,1307466
MS,2020-11-04,1035876,1033282,804845,802251
MO,2020-11-04,3007744,,2179766,
MT,2020-11-04,567726,569732,17894,19900
NE,2020-11-04,921496,837952,411421,327877
NV,2020-11-04,1194857,,71887,
NH,2020-11-04,765523,757096,529689,521262
NJ,2020-11-04,2893295,2831730,-765164,-826729
NM,2020-11-04,908423,901873,131158,124608
NY,2020-11-04,6603050,,2859305,
NC,2020-11-04,5453943,5418711,875674,840442
ND,2020-11-04,358672,,86712,
OH,2020-11-04,5761250,,2349787,
OK,2020-11-04,1558627,1554312,1111576,1107261
OR,2020-11-04,2155180,2122805,-170,-32545
PA,2020-11-04,5709941,,3205423,
RI,2020-11-04,481695,461654,176772,156731
SC,2020-11-04,2393708,2393917,1070017,1070226
SD,2020-11-04,381574,379434,165434,163294
TN,2020-11-04,3045479,2941357,764712,660590
TX,2020-11-04,11151874,10993070,1458795,1299991
UT,2020-11-04,1048294,,-75912,
VT,2020-11-04,365249,,120152,
VA,2020-11-04,4304183,4215616,1560145,1471578
WA,2020-11-04,3314705,,-230584,
WV,2020-11-04,785309,769779,390800,375270
WI,2020-11-04,3289146,,1364308,
WY,2020-11-04,274872,270681,143356,139165
